ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs
NTR,Nutrien Ltd.,-1.58,-9.8,0,0,49
ROP,"Roper Technologies, Inc.",1.81,-8.25,11,7,7
HVRRF,Hannover Rück SE,0.0,-13.06,0,0,23
BMPSY,BMPSY,2.52,3.99,100,100,42
HVRRY,Hannover Rück SE,-1.53,-6.0,0,0,25
HAL,Halliburton Company,-1.22,-8.16,0,0,85
TCKRF,Teck Resources Limited,-0.69,12.16,79,48,86
EL,The Estée Lauder Companies Inc.,-1.73,16.4,80,75,34
RPRX,Royalty Pharma plc,2.35,11.81,100,91,82
GASNY,"Naturgy Energy Group, S.A.",-0.15,6.75,38,24,54
PUTRY,PTT Public Company Limited,0.0,9.82,53,43,56
CKHGY,Capitec Bank Holdings Limited,-0.09,7.65,94,61,66
KBGGY,Kongsberg Gruppen ASA,0.02,16.41,97,79,78
ACGLN,Arch Capital Group Ltd.,-0.72,-4.34,0,0,33
SVNDF,"Seven & i Holdings Co., Ltd.",0.0,0.0,28,17,12
TCOM,Trip.com Group Limited,0.74,-12.51,4,1,9
EXPGY,Experian plc,0.14,-5.22,1,0,10
SZLMY,Swiss Life Holding AG,0.25,-4.27,6,0,41
NTRSO,Northern Trust Corporation,-0.37,-1.26,0,0,33
HENOF,Henkel AG & Co. KGaA,0.83,7.07,100,65,19
EXR,Extra Space Storage Inc.,-1.03,0.68,47,13,39
WOLWF,Woolworths Group Limited,0.0,-6.0,18,7,63
VICI,VICI Properties Inc.,-0.39,-3.36,2,0,27
EXPGF,Experian plc,-2.46,-7.66,0,0,8
EC,Ecopetrol S.A.,-1.08,3.18,79,65,86
AEE,Ameren Corporation,-0.88,-5.0,0,0,43
ZM,"Zoom Communications, Inc.",1.12,4.57,20,9,75
VEOEY,Veolia Environnement SA,0.89,0.21,24,5,61
CNC,Centene Corporation,1.17,11.01,75,45,83
SWSDF,Swiss Life Holding AG,-0.6,-4.34,0,0,37
MITEF,"Mitsubishi Estate Co., Ltd.",0.0,-17.76,0,0,42
DASTF,Dassault Systèmes SE,1.02,1.07,6,4,13
RSNHF,"Resona Holdings, Inc.",1.92,6.57,27,13,71
DUAVF,Dassault Aviation société anonyme,8.34,9.33,95,77,47
GBOOF,"Grupo Financiero Banorte, S.A.B. de C.V.",-8.78,-8.29,0,0,37
ARES,Ares Management Corporation,1.98,9.45,73,31,27
DOV,Dover Corporation,-0.3,-6.42,1,0,48
GEHC,GE HealthCare Technologies Inc.,-0.83,2.47,5,0,10
ATO,Atmos Energy Corporation,-2.25,-10.47,0,0,34
BRDCF,Bridgestone Corporation,4.93,11.63,69,57,3
SKFOF,Sika AG,0.0,-4.8,0,0,10
FTS,Fortis Inc.,-1.39,-2.48,0,0,47
IR,Ingersoll Rand Inc.,0.92,-10.27,9,3,13
IMBBY,Imperial Brands PLC,-1.69,-2.24,0,0,20
MTSI,"MACOM Technology Solutions Holdings, Inc.",-6.76,29.48,58,52,95
IPXHF,Inpex Corporation,0.0,-13.23,0,0,81
CNP,"CenterPoint Energy, Inc.",0.09,-2.65,0,0,47
ALPMF,Astellas Pharma Inc.,7.72,7.64,65,49,70
BPERF,BPERF,0.0,-2.55,0,0,26
ICTEF,"International Container Terminal Services, Inc.",0.0,12.47,62,47,1
TTNDF,Techtronic Industries Company Limited,0.0,6.03,0,0,64
BAP,Credicorp Ltd.,0.33,6.18,73,66,73
SMCAY,SMC Corporation,2.4,-11.04,15,11,57
TPL,Texas Pacific Land Corporation,-2.07,-11.42,0,0,40
PBA,Pembina Pipeline Corporation,-1.42,0.06,7,0,64
HRSHF,"Haier Smart Home Co., Ltd.",0.48,-11.7,1,1,11
NVZMY,Novozymes A/S,-2.02,-5.51,0,0,25
IONQ,"IonQ, Inc.",2.75,59.73,100,100,90
FE,FirstEnergy Corp.,0.43,-1.37,39,15,39
BESIY,BE Semiconductor Industries N.V.,-0.81,13.64,82,72,94
FTAIN,FTAI Aviation Ltd.,-0.04,0.47,0,0,41
PPL,PPL Corporation,0.17,-5.48,0,0,31
STRL,"Sterling Infrastructure, Inc.",2.12,66.95,85,78,97
CAJFF,Canon Inc.,4.2,-0.73,54,37,21
NWWCF,New China Life Insurance Company Ltd.,2.37,-6.42,32,21,87
CEBCF,China Everbright Bank Company Limited,0.0,-4.88,0,0,50
JBHT,"J.B. Hunt Transport Services, Inc.",1.43,10.1,100,100,88
VRSN,"VeriSign, Inc.",-3.63,6.51,6,0,61
YZCHF,Yankuang Energy Group Company Limited,0.0,-1.38,0,0,83
HLVTY,Helvetia Baloise Holding AG,0.0,-5.99,0,0,74
ES,Eversource Energy,-1.19,-2.29,14,0,39
LUNMF,Lundin Mining Corporation,-0.99,16.25,74,62,92
FOX,Fox Corporation,-3.11,0.65,0,0,49
AVB,"AvalonBay Communities, Inc.",-1.26,-0.27,0,0,36
CLPHF,CLPHF,3.95,5.37,72,45,61
AIVAF,Aviva plc,4.08,0.72,42,29,32
XPO,"XPO, Inc.",0.1,-2.67,53,31,81
HUBB,Hubbell Incorporated,0.23,-6.52,7,0,44
HPQ,HP Inc.,8.12,29.63,100,100,68
HXGBY,Hexagon AB (publ),-3.91,0.0,35,23,33
ILMN,"Illumina, Inc.",2.68,28.58,100,100,83
EQR,Equity Residential,-1.22,0.11,2,0,43
OMVJF,OMV Aktiengesellschaft,0.0,7.54,56,33,77
DG,Dollar General Corporation,0.65,-4.55,37,27,24
DOW,Dow Inc.,-1.95,-15.8,0,0,74
BNTX,BioNTech SE,2.69,-7.25,38,21,23
QBIEY,QBE Insurance Group Limited,1.18,0.12,11,7,62
AIPUY,Airports of Thailand Public Company Limited,0.0,6.89,92,76,71
BNCZF,Banco BPM S.p.A.,2.71,2.84,53,40,77
FMXUF,"Fomento Económico Mexicano, S.A.B. de C.V.",0.0,0.97,0,0,61
PAAS,Pan American Silver Corp.,3.32,9.34,35,24,82
NHYDY,Norsk Hydro ASA,-1.21,11.04,71,58,91
STZ,"Constellation Brands, Inc.",-2.33,-11.34,0,0,21
RF,Regions Financial Corporation,0.61,-1.93,36,15,55
HALMY,Halma plc,0.81,7.13,66,29,77
WRB,W. R. Berkley Corporation,-1.18,-4.92,0,0,18
OLCLY,"Oriental Land Co., Ltd.",1.95,2.83,63,40,6
BCEFF,BCE Inc.,1.27,2.61,27,11,63
CCOZF,China Coal Energy Company Limited,0.0,-24.86,0,0,51
BCE,BCE Inc.,0.8,5.59,72,23,47
DRI,"Darden Restaurants, Inc.",-0.27,1.67,67,34,37
OEZVY,VERBUND AG,0.0,-3.31,25,17,39
MTNOY,MTN Group Limited,-1.25,5.84,67,37,82
SQM,Sociedad Química y Minera de Chile S.A.,2.17,-5.78,32,24,89
TELNF,Telenor ASA,0.0,-3.43,18,1,54
UNPRF,Uniper SE,0.0,23.54,95,77,80
VRSK,"Verisk Analytics, Inc.",1.26,-5.15,52,38,6
JXAMY,JXAMY,2.6,-10.95,3,0,30
AKRBF,Aker BP ASA,-0.96,-6.49,10,6,79
LSRCY,Lasertec Corporation,-1.07,-8.74,27,19,91
FCNCA,"First Citizens BancShares, Inc.",-0.82,0.44,32,10,43
FCNCB,"First Citizens BancShares, Inc.",0.13,-1.54,0,0,34
STMZF,Scottish Mortgage Investment Trust PLC,-0.73,6.04,70,33,79
ICHGF,InterContinental Hotels Group PLC,-0.65,5.56,65,39,65
FWONA,Formula One Group,0.45,6.04,16,1,31
CHWRF,China Tower Corporation Limited,0.0,20.72,63,58,79
PFG,"Principal Financial Group, Inc.",0.29,2.69,41,4,69
WIT,Wipro Limited,-2.88,15.69,87,86,25
CLNXF,"Cellnex Telecom, S.A.",0.0,-1.19,0,0,23
SNHIY,SNHIY,0.0,0.0,0,0,35
BDRPF,Bombardier Inc.,3.05,5.42,89,39,68
BDRBF,Bombardier Inc.,4.02,5.88,100,83,92
ULTA,"Ulta Beauty, Inc.",-2.17,-5.33,26,9,24
JXHLY,"ENEOS Holdings, Inc.",-3.7,-14.18,0,0,57
